customer_id,intervention_date,intervention_type,savings_amount,confidence_score
CUST002828,2025-08-18,Prevented Payment Failure,10,0.8057674413616769
CUST002230,2025-08-30,Caught Billing Error,20,0.7729801084846258
CUST004752,2025-07-29,Caught Billing Error,20,0.9504734205338172
CUST004752,2025-07-15,Optimized Plan,25,0.8484215462720022
CUST002645,2025-08-15,Roaming Alert,45,0.9229348700144328
CUST001600,2025-07-21,Roaming Alert,45,0.9529625805094838
CUST001600,2025-07-14,Prevented Payment Failure,10,0.8069789054081775
CUST001325,2025-06-21,Prevented Overage,35,0.7949536247202195
CUST001325,2025-07-25,Caught Billing Error,20,0.8589772758865729
CUST001325,2025-07-28,Optimized Plan,25,0.8135276728193276
CUST002980,2025-06-29,Caught Billing Error,20,0.8649038248346187
CUST002980,2025-07-04,Optimized Plan,25,0.7886424007616005
CUST001152,2025-07-03,Caught Billing Error,20,0.866707382844761
CUST001152,2025-09-15,Caught Billing Error,20,0.7650502298772335
CUST001152,2025-08-31,Caught Billing Error,20,0.8156103219697252
CUST001152,2025-08-26,Optimized Plan,25,0.8178964589978568
CUST002741,2025-07-18,Optimized Plan,25,0.9029041738598608
CUST002177,2025-09-15,Optimized Plan,25,0.9468871270352974
CUST002177,2025-09-17,Prevented Overage,35,0.7926905454345978
CUST003161,2025-08-04,Prevented Overage,35,0.9321011463040486
CUST003161,2025-07-21,Caught Billing Error,20,0.8184903869242407
CUST003161,2025-07-07,Roaming Alert,45,0.8046906466875225
CUST003161,2025-07-23,Optimized Plan,25,0.9176243942789734
CUST004845,2025-06-24,Caught Billing Error,20,0.8485914918081835
CUST004845,2025-08-04,Prevented Overage,35,0.8667835750081576
CUST004224,2025-08-15,Optimized Plan,25,0.7891757626133039
CUST003096,2025-09-06,Optimized Plan,25,0.8674064530059695
CUST000878,2025-07-22,Prevented Payment Failure,10,0.9365749273984693
CUST000878,2025-09-12,Caught Billing Error,20,0.7548878396186046
CUST003669,2025-08-16,Roaming Alert,45,0.8605285598360933
CUST003669,2025-09-11,Caught Billing Error,20,0.8305679158167913
CUST003669,2025-06-20,Prevented Overage,35,0.9239302966021933
CUST001353,2025-08-13,Caught Billing Error,20,0.9384191405610182
CUST001353,2025-08-04,Caught Billing Error,20,0.8421211510314606
CUST001353,2025-07-20,Prevented Payment Failure,10,0.8018155584996566
CUST003592,2025-09-17,Optimized Plan,25,0.9283471708185971
CUST003592,2025-07-13,Optimized Plan,25,0.8267977866041474
CUST003592,2025-07-09,Prevented Payment Failure,10,0.7883482432481833
CUST004198,2025-09-15,Prevented Payment Failure,10,0.7537174980645068
CUST004198,2025-09-13,Optimized Plan,25,0.8426772548886947
CUST004198,2025-07-03,Optimized Plan,25,0.951948419730179
CUST004488,2025-09-02,Caught Billing Error,20,0.9679889683891088
CUST000335,2025-08-16,Prevented Overage,35,0.7587123716087081
CUST000335,2025-08-12,Roaming Alert,45,0.8898519651801325
CUST003377,2025-07-21,Prevented Payment Failure,10,0.9305914506874978
CUST000853,2025-08-25,Caught Billing Error,20,0.791032748343423
CUST000853,2025-08-27,Prevented Payment Failure,10,0.7635090463515372
CUST003380,2025-08-12,Roaming Alert,45,0.9233590895286761
CUST003380,2025-07-05,Prevented Payment Failure,10,0.8331277062511071
CUST003380,2025-07-07,Caught Billing Error,20,0.9073857065220363
CUST002796,2025-09-05,Caught Billing Error,20,0.8371518285665661
CUST004978,2025-09-04,Caught Billing Error,20,0.9729844220518135
CUST004978,2025-07-10,Prevented Payment Failure,10,0.8137529370165429
CUST004978,2025-08-02,Prevented Payment Failure,10,0.7702893848810345
CUST002113,2025-08-05,Prevented Overage,35,0.9637765769218094
CUST002113,2025-08-22,Roaming Alert,45,0.8646998303104192
CUST004412,2025-08-20,Optimized Plan,25,0.8490826679649762
CUST004057,2025-08-16,Prevented Payment Failure,10,0.9499510108889081
CUST001969,2025-08-29,Caught Billing Error,20,0.9117625907436013
CUST003584,2025-09-14,Caught Billing Error,20,0.8354641408869066
CUST002579,2025-07-04,Prevented Overage,35,0.9732790042250417
CUST002579,2025-07-31,Caught Billing Error,20,0.9611300221155398
CUST002579,2025-07-07,Prevented Payment Failure,10,0.7786221937299707
CUST001709,2025-08-02,Prevented Overage,35,0.9786564901540987
CUST001709,2025-08-08,Caught Billing Error,20,0.9144439988746308
CUST001709,2025-09-05,Caught Billing Error,20,0.8195782791427336
CUST000175,2025-08-04,Prevented Overage,35,0.9043956775427796
CUST000175,2025-08-17,Caught Billing Error,20,0.8252531391289085
CUST000175,2025-07-17,Prevented Overage,35,0.9043022687709891
CUST001254,2025-08-10,Optimized Plan,25,0.7563667113590055
CUST002114,2025-08-18,Prevented Payment Failure,10,0.756075032830704
CUST000897,2025-09-11,Roaming Alert,45,0.912462774659507
CUST000897,2025-09-08,Caught Billing Error,20,0.9051539059751667
CUST000897,2025-09-10,Optimized Plan,25,0.9168449056521057
